ASV_ID,kingdom,phylum,class,order,family,genus,species,domain,species_raw,best_id,species_lab,occ_query_name,occ_n_records,occ_n_gbif,occ_n_obis,occ_min_distance_km,occ_nearest_lat,occ_nearest_lon,occ_in_study_area,occ_in_buffer,occ_assessment,occ_congeners_in_region,assigned_pct_identity,validation_flag,best_congener,best_congener_pct_identity,n_congeners_in_db,congeners_in_db,n_congeners_missing,congeners_missing,final_decision,decision_confidence,decision_reason,cleaned_species
ASV1,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo macrostigma,Eukaryota,Salmo macrostigma,Salmo macrostigma,Salmo macrostigma 1,Salmo macrostigma,219,210,9,2144.0742965504915,44.233611,10.364444,False,False,DOUBTFUL,Fario aurora; Salmo abanticus; Salmo adirondacus; Salmo akairos; Salmo alipes; Salmo americanus; Salmo aphelios; Salmo arabatsch; Salmo araxensis; Salmo arcticus; Salmo arcturus; Salmo ardahanensis; Salmo auratus; Salmo balcanicus; Salmo baliki; Salmo bathoecetor; Salmo bodschac; Salmo boops; Salmo brasiliensis; Salmo callaris; Salmo campbelli; Salmo carinatus; Salmo carpio; Salmo caspius; Salmo cenerinus; Salmo cettii; Salmo chilo; Salmo chimbure; Salmo ciscaucasicus; Salmo coruhensis; Salmo curima; Salmo curimata; Salmo cyprinoides; Salmo dentex; Salmo denticulosus; Salmo digitalis; Salmo duhani; Salmo edentulus; Salmo eremogenes; Salmo erythraeus; Salmo erythrinus; Salmo erythrophthalmus; Salmo erythrorynchos; Salmo euphrataeus; Salmo evermanni; Salmo ezenami; Salmo fahrettini; Salmo farioides; Salmo ferox; Salmo fibreni; Salmo germanorum; Salmo gibber; Salmo gillaroo; Salmo gracilis; Salmo grandoculus; Salmo gronovii; Salmo hearnii; Salmo hoodii; Salmo icimus; Salmo illanken; Salmo inghaghitsh; Salmo ischchan; Salmo japonensis; Salmo jaraqui; Salmo kayko; Salmo kottelati; Salmo kundsha; Salmo kunsha; Salmo labecula; Salmo labrax; Salmo laevigatus; Salmo leptosoma; Salmo letnica; Salmo lodde; Salmo lossos; Salmo lourosensis; Salmo lucius; Salmo lumi; Salmo lycaodon; Salmo macedonicus; Salmo marmoratus; Salmo matrincham; Salmo melampterus; Salmo melanurus; Salmo mendocinensis; Salmo microcephalus; Salmo microps; Salmo montenigrinus; Salmo muchsan; Salmo muikisi; Salmo multipunctata; Salmo munzuricus; Salmo murathani; Salmo naresii; Salmo nigrescens; Salmo nigripinnis; Salmo nitidus; Salmo notatus; Salmo nummifer; Salmo obtusirostris; Salmo ochiutus; Salmo octoradiatus; Salmo ohridanus; Salmo okumusi; Salmo omul; Salmo opimus; Salmo ovatus; Salmo pacu; Salmo pacupeba; Salmo pallaryi; Salmo parr; Salmo pelagonicus; Salmo pellegrini; Salmo pennanti; Salmo pequira; Salmo peristericus; Salmo piraputanga; Salmo platycephalus; Salmo pomatops; Salmo punctatus; Salmo reidur; Salmo rhodanensis; Salmo rivalis; Salmo rizeensis; Salmo roosevelti; Salmo roschal; Salmo rosei; Salmo rossii; Salmo sachicanga; Salmo salar; Salmo salaroides; Salmo samlet; Salmo saramao; Salmo schiefermuelleri; Salmo schrankii; Salmo septemradiatus; Salmo spec; Salmo spilurus; Salmo stomachicus; Salmo taleri; Salmo tamuco; Salmo tapdisma; Salmo tigridis; Salmo trigintaoctoradiatus; Salmo trutta; Salmo truttasalar; Salmo tumbel; Salmo undecimradiatus; Salmo ursinus; Salmo vario; Salmo villosus; Salmo viridis; Salmo visovacensis; Salmo wimba; Salmo zrmanjaensis,100.0,CONFIDENT,Salmo trutta,100.0,12.0,Salmo carpio; Salmo caspius; Salmo cenerinus; Salmo ischchan; Salmo labrax; Salmo macrostigma; Salmo marmoratus; Salmo obtusirostris; Salmo pallaryi; Salmo rhodanensis,144.0,Fario aurora; Salmo abanticus; Salmo adirondacus; Salmo akairos; Salmo alipes; Salmo americanus; Salmo aphelios; Salmo arabatsch; Salmo araxensis; Salmo arcticus,DROP_TO_GENUS,HIGH,2144km away; local congener(s) match equally - likely local species,
ASV2,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea,Eukaryota,,Clupea,Clupea 1,,,,,,,,,,,,0.0,GENUS_ONLY,Clupea pallasii,99.4,2.0,Clupea harengus; Clupea pallasii,0.0,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY",
ASV3,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Eukaryota,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus rupestris 1,Ctenolabrus rupestris,688,113,575,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,,,1.0,Ctenolabrus rupestris,1.0,Ctenolabrus knoxi,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Ctenolabrus rupestris
ASV4,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Eukaryota,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus rupestris 2,Ctenolabrus rupestris,688,113,575,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,,,1.0,Ctenolabrus rupestris,1.0,Ctenolabrus knoxi,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Ctenolabrus rupestris
ASV5,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 1,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Clupea pallasii,99.4,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Clupea harengus
ASV6,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Phoxinus,Phoxinus,Eukaryota,,Phoxinus,Phoxinus 1,,,,,,,,,,,,0.0,GENUS_ONLY,Phoxinus fayollarum,98.3,11.0,Phoxinus bigerri; Phoxinus csikii; Phoxinus dragarum; Phoxinus fayollarum; Phoxinus keumkang; Phoxinus lumaireul; Phoxinus phoxinus; Phoxinus semotilus; Phoxinus septimaniae; Phoxinus steindachneri,0.0,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY",
ASV7,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Pollachius,Pollachius virens,Eukaryota,Pollachius virens,Pollachius virens,Pollachius virens 1,Pollachius virens,1925,457,1468,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Pollachius pollachius,99.4,2.0,Pollachius pollachius; Pollachius virens,0.0,,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Pollachius virens
ASV8,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Eukaryota,Clupea pallasii,Clupea pallasii,Clupea pallasii 1,Clupea pallasii,6,6,0,799.967717003177,,,False,False,POSSIBLE,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata; Clupea fimbriata; Clupea gasterostea; Clupea gigantea; Clupea guestfalica; Clupea hadleyi; Clupea harengus; Clupea ignota; Clupea inermis; Clupea inflata; Clupea laccia; Clupea longimana; Clupea macrocephala; Clupea macrochira; Clupea macropthalma; Clupea macroura; Clupea manulensis; Clupea marisalbi; Clupea megapteryx; Clupea melastoma; Clupea membras; Clupea montevideo; Clupea opisthopteryx; Clupea papalina; Clupea piltschardus; Clupea polyachanthina; Clupea rex; Clupea sardinites; Clupea saulos; Clupea scheuchseri; Clupea smaragdina; Clupea spec; Clupea sulcata; Clupea suworowi; Clupea tenuissima; Clupea testis; Clupea tiejei; Clupea tobarana; Clupea trigintaoctoradiata; Clupea trinacridis; Clupea ventricosa; Clupea verticalis; Clupea vigintiquiniradiata; Clupea vigintiradiata; Clupea vittargentea; Clupea vittata; Clupea voinovi; Clupea weileri; Clupea xenophanis; Clupea zanclea; Sardinella caudata,100.0,CONFIDENT,,,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,MEDIUM,800km from known range with 60 local congener(s),
ASV9,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,Eukaryota,Salmo salar,Salmo salar,Salmo salar 1,Salmo salar,110604,69150,41454,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Salmo labrax,98.2,12.0,Salmo carpio; Salmo caspius; Salmo cenerinus; Salmo ischchan; Salmo labrax; Salmo macrostigma; Salmo marmoratus; Salmo obtusirostris; Salmo pallaryi; Salmo rhodanensis,144.0,Fario aurora; Salmo abanticus; Salmo adirondacus; Salmo akairos; Salmo alipes; Salmo americanus; Salmo aphelios; Salmo arabatsch; Salmo araxensis; Salmo arcticus,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Salmo salar
ASV10,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,Eukaryota,Scomber scombrus,Scomber scombrus,Scomber scombrus 1,Scomber scombrus,686,265,421,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Scomber australasicus,94.7,4.0,Scomber australasicus; Scomber colias; Scomber japonicus; Scomber scombrus,48.0,Auxis caucasica; Pneumatophorus euodus; Scomber aculeatus; Scomber ascensionis; Scomber auratus; Scomber aureus; Scomber australiensis; Scomber bimaculatus; Scomber capensis; Scomber chrisops,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Scomber scombrus
