"ASV_ID","kingdom","phylum","class","order","family","genus","species","domain","species_raw","best_id","species_lab"
"ASV1","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo macrostigma","Eukaryota","Salmo macrostigma","Salmo macrostigma","Salmo macrostigma 1"
"ASV2","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea","Eukaryota",NA,"Clupea","Clupea 1"
"ASV3","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 1"
"ASV4","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 2"
"ASV5","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Eukaryota","Clupea harengus","Clupea harengus","Clupea harengus 1"
"ASV6","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus","Eukaryota",NA,"Phoxinus","Phoxinus 1"
"ASV7","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","Eukaryota","Pollachius virens","Pollachius virens","Pollachius virens 1"
"ASV8","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Eukaryota","Clupea pallasii","Clupea pallasii","Clupea pallasii 1"
"ASV9","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","Eukaryota","Salmo salar","Salmo salar","Salmo salar 1"
"ASV10","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","Eukaryota","Scomber scombrus","Scomber scombrus","Scomber scombrus 1"
"ASV11","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","Eukaryota","Pholis gunnellus","Pholis gunnellus","Pholis gunnellus 1"
"ASV12","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","Eukaryota","Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus aculeatus 1"
"ASV13","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Eukaryota","Clupea harengus","Clupea harengus","Clupea harengus 2"
"ASV14","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","Eukaryota","Merluccius merluccius","Merluccius merluccius","Merluccius merluccius 1"
"ASV15","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Eukaryota","Homo sapiens","Homo sapiens","Homo sapiens 1"
"ASV16","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Molva","Molva molva","Eukaryota","Molva molva","Molva molva","Molva molva 1"
"ASV17","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys stellatus","Eukaryota","Platichthys stellatus","Platichthys stellatus","Platichthys stellatus 1"
"ASV18","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Eukaryota","Clupea harengus","Clupea harengus","Clupea harengus 3"
"ASV19","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","Eukaryota","Pollachius virens","Pollachius virens","Pollachius virens 2"
"ASV20","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Labrus","Labrus mixtus","Eukaryota","Labrus mixtus","Labrus mixtus","Labrus mixtus 1"
